id,name,url,platform,catalog_type,government_level,country,country_name,owner_name,owner_type,api_endpoint,dataset_count,status
richlandcounty-erppro.data.socrata.com,,https://richlandcounty-erppro.data.socrata.com,socrata,Open data portal,,,,,,https://richlandcounty-erppro.data.socrata.com/api,0,active
rivierabch.data.socrata.com,,https://rivierabch.data.socrata.com,socrata,Open data portal,,,,,,https://rivierabch.data.socrata.com/api,0,active
rosevillepd.data.socrata.com,,https://rosevillepd.data.socrata.com,socrata,Open data portal,,,,,,https://rosevillepd.data.socrata.com/api,8,active
rrps.data.socrata.com,,https://rrps.data.socrata.com,socrata,Open data portal,,,,,,https://rrps.data.socrata.com/api,4,active
rutah-water-consevancy.data.socrata.com,,https://rutah-water-consevancy.data.socrata.com,socrata,Open data portal,,,,,,https://rutah-water-consevancy.data.socrata.com/api,0,active
sacramentoareasewerdistrict.data.socrata.com,,https://sacramentoareasewerdistrict.data.socrata.com,socrata,Open data portal,,,,,,https://sacramentoareasewerdistrict.data.socrata.com/api,0,active
sandag.data.socrata.com,,https://sandag.data.socrata.com,socrata,Open data portal,,,,,,https://sandag.data.socrata.com/api,0,active
schoharie-county-of.data.socrata.com,,https://schoharie-county-of.data.socrata.com,socrata,Open data portal,,,,,,https://schoharie-county-of.data.socrata.com/api,0,active
sdc-stories.demo.socrata.com,,https://sdc-stories.demo.socrata.com,socrata,Open data portal,,,,,,https://sdc-stories.demo.socrata.com/api,3,active
seattleperformance.demo.socrata.com,Rally - Open Data Portal | Tyler Data & Insights,https://seattleperformance.demo.socrata.com,socrata,Open data portal,local,US,United States,City of Seattle,Local government,https://seattleperformance.demo.socrata.com/api,3,active
sharefulton.fultoncountyga.gov,Fulton County Open Data,https://sharefulton.fultoncountyga.gov,socrata,Open data portal,local,US,United States,Fulton County Board of Health,Local government,https://sharefulton.fultoncountyga.gov/api,239,active
shawneesheriff.data.socrata.com,,https://shawneesheriff.data.socrata.com,socrata,Open data portal,,,,,,https://shawneesheriff.data.socrata.com/api,18,active
sidneyoh.data.socrata.com,,https://sidneyoh.data.socrata.com,socrata,Open data portal,,,,,,https://sidneyoh.data.socrata.com/api,0,active
siouxfalls.data.socrata.com,,https://siouxfalls.data.socrata.com,socrata,Open data portal,,,,,,https://siouxfalls.data.socrata.com/api,15,active
slo-co.data.socrata.com,,https://slo-co.data.socrata.com,socrata,Open data portal,,,,,,https://slo-co.data.socrata.com/api,6,active
soquelcreekwdca.data.socrata.com,,https://soquelcreekwdca.data.socrata.com,socrata,Open data portal,,,,,,https://soquelcreekwdca.data.socrata.com/api,1,active
southcarolina-departmentofadministration-reporting.data.socrata.com,,https://southcarolina-departmentofadministration-reporting.data.socrata.com,socrata,Open data portal,,,,,,https://southcarolina-departmentofadministration-reporting.data.socrata.com/api,0,active
southfultonga.data.socrata.com,,https://southfultonga.data.socrata.com,socrata,Open data portal,,,,,,https://southfultonga.data.socrata.com/api,1,active
spokanevalleywa.data.socrata.com,,https://spokanevalleywa.data.socrata.com,socrata,Open data portal,,,,,,https://spokanevalleywa.data.socrata.com/api,0,active
stat.montgomerycountymd.gov,,https://stat.montgomerycountymd.gov,socrata,Open data portal,,,,,,https://stat.montgomerycountymd.gov/api,434,active
stat.stpete.org,Open Data Portal | StPeteStat,https://stat.stpete.org,socrata,Open data portal,federal,US,United States,Not specified in provided text,Local government,https://stat.stpete.org/api,0,active
stateofalaska.data.socrata.com,,https://stateofalaska.data.socrata.com,socrata,Open data portal,,,,,,https://stateofalaska.data.socrata.com/api,31,active
stlouiscounty-performance.demo.socrata.com,Government Financial Reports App | Tyler Data & Insights,https://stlouiscounty-performance.demo.socrata.com,socrata,Open data portal,federal,US,United States,Local Government of Socrata,Local government,https://stlouiscounty-performance.demo.socrata.com/api,4,active
stutsman.data.socrata.com,,https://stutsman.data.socrata.com,socrata,Open data portal,,,,,,https://stutsman.data.socrata.com/api,13,active
sugarlandtx.data.socrata.com,,https://sugarlandtx.data.socrata.com,socrata,Open data portal,,,,,,https://sugarlandtx.data.socrata.com/api,0,active
summitcountyoh.data.socrata.com,,https://summitcountyoh.data.socrata.com,socrata,Open data portal,,,,,,https://summitcountyoh.data.socrata.com/api,1,active
sussexco.data.socrata.com,,https://sussexco.data.socrata.com,socrata,Open data portal,,,,,,https://sussexco.data.socrata.com/api,0,active
talbotcountymd.data.socrata.com,,https://talbotcountymd.data.socrata.com,socrata,Open data portal,,,,,,https://talbotcountymd.data.socrata.com/api,0,active
tetoncountyid.data.socrata.com,,https://tetoncountyid.data.socrata.com,socrata,Open data portal,,,,,,https://tetoncountyid.data.socrata.com/api,0,active
thedatazone.ca,datazONE,https://www.thedatazone.ca,socrata,Open data portal,state,CA,Canada,Property Valuation Services Corporation,Regional government,https://www.thedatazone.ca/api,21,active
tollesonaz.data.socrata.com,,https://tollesonaz.data.socrata.com,socrata,Open data portal,,,,,,https://tollesonaz.data.socrata.com/api,0,active
townofaddisontx.data.socrata.com,,https://townofaddisontx.data.socrata.com,socrata,Open data portal,,,,,,https://townofaddisontx.data.socrata.com/api,0,active
townofblufftonsc.data.socrata.com,,https://townofblufftonsc.data.socrata.com,socrata,Open data portal,,,,,,https://townofblufftonsc.data.socrata.com/api,0,active
townofdennis.data.socrata.com,,https://townofdennis.data.socrata.com,socrata,Open data portal,,,,,,https://townofdennis.data.socrata.com/api,0,active
townofmarblehead-ma-edp.data.socrata.com,,https://townofmarblehead-ma-edp.data.socrata.com,socrata,Open data portal,,,,,,https://townofmarblehead-ma-edp.data.socrata.com/api,0,active
townofmiamilakes.data.socrata.com,,https://townofmiamilakes.data.socrata.com,socrata,Open data portal,,,,,,https://townofmiamilakes.data.socrata.com/api,0,active
townofswansboro.data.socrata.com,,https://townofswansboro.data.socrata.com,socrata,Open data portal,,,,,,https://townofswansboro.data.socrata.com/api,0,active
transparencyarchive.michigan.gov,MI Transparency - State Expenditures,https://transparencyarchive.michigan.gov,socrata,Open data portal,state,US,United States,State of Michigan,Central government,https://transparencyarchive.michigan.gov/api,56,active
transparentrichmond.org,Transparent Richmond,https://www.transparentrichmond.org,socrata,Open data portal,federal,US,United States,City of Richmond,Local government,https://www.transparentrichmond.org/api,142,active
trca-epl.data.socrata.com,,https://trca-epl.data.socrata.com,socrata,Open data portal,,,,,,https://trca-epl.data.socrata.com/api,2,active
tumwater.data.socrata.com,,https://tumwater.data.socrata.com,socrata,Open data portal,,,,,,https://tumwater.data.socrata.com/api,0,active
txcourts-reporting.data.socrata.com,,https://txcourts-reporting.data.socrata.com,socrata,Open data portal,,,,,,https://txcourts-reporting.data.socrata.com/api,1,active
txcourts-staging-reporting.data.socrata.com,,https://txcourts-staging-reporting.data.socrata.com,socrata,Open data portal,,,,,,https://txcourts-staging-reporting.data.socrata.com/api,1,active
unioncityhi-reporting.data.socrata.com,,https://unioncityhi-reporting.data.socrata.com,socrata,Open data portal,,,,,,https://unioncityhi-reporting.data.socrata.com/api,1,active
unioncountyoh.data.socrata.com,,https://unioncountyoh.data.socrata.com,socrata,Open data portal,,,,,,https://unioncountyoh.data.socrata.com/api,0,active
uppermac.data.socrata.com,,https://uppermac.data.socrata.com,socrata,Open data portal,,,,,,https://uppermac.data.socrata.com/api,0,active
usc.data.socrata.com,,https://usc.data.socrata.com,socrata,Open data portal,,,,,,https://usc.data.socrata.com/api,160,active
usvi.data.socrata.com,,https://usvi.data.socrata.com,socrata,Open data portal,,,,,,https://usvi.data.socrata.com/api,0,active
va-cca-uat.data.socrata.com,,https://va-cca-uat.data.socrata.com,socrata,Open data portal,,,,,,https://va-cca-uat.data.socrata.com/api,2,active
va-cca.data.socrata.com,,https://va-cca.data.socrata.com,socrata,Open data portal,,,,,,https://va-cca.data.socrata.com/api,1,active
vdh-richmondcity.demo.socrata.com,Richmond City Local Health District | Richmond City Local Health District,https://vdh-richmondcity.demo.socrata.com,socrata,Open data portal,state,US,United States,Socrata,Business,https://vdh-richmondcity.demo.socrata.com/api,5,active
vusd.data.socrata.com,,https://vusd.data.socrata.com,socrata,Open data portal,,,,,,https://vusd.data.socrata.com/api,0,active
wacotexas.data.socrata.com,,https://wacotexas.data.socrata.com,socrata,Open data portal,,,,,,https://wacotexas.data.socrata.com/api,3,active
washoe.data.socrata.com,,https://washoe.data.socrata.com,socrata,Open data portal,,,,,,https://washoe.data.socrata.com/api,3,active
waterloo-ia.data.socrata.com,,https://waterloo-ia.data.socrata.com,socrata,Open data portal,,,,,,https://waterloo-ia.data.socrata.com/api,0,active
wccusd.data.socrata.com,,https://wccusd.data.socrata.com,socrata,Open data portal,,,,,,https://wccusd.data.socrata.com/api,0,active
weho.data.socrata.com,,https://weho.data.socrata.com,socrata,Open data portal,,,,,,https://weho.data.socrata.com/api,2,active
wenatchee-wa.data.socrata.com,,https://wenatchee-wa.data.socrata.com,socrata,Open data portal,,,,,,https://wenatchee-wa.data.socrata.com/api,0,active
weslacotx.data.socrata.com,,https://weslacotx.data.socrata.com,socrata,Open data portal,,,,,,https://weslacotx.data.socrata.com/api,1,active
westgoshenpa.data.socrata.com,,https://westgoshenpa.data.socrata.com,socrata,Open data portal,,,,,,https://westgoshenpa.data.socrata.com/api,0,active
westlinnoregon.data.socrata.com,,https://westlinnoregon.data.socrata.com,socrata,Open data portal,,,,,,https://westlinnoregon.data.socrata.com/api,0,active
westoncityfl.data.socrata.com,,https://westoncityfl.data.socrata.com,socrata,Open data portal,,,,,,https://westoncityfl.data.socrata.com/api,0,active
westpalmbeach.data.socrata.com,,https://westpalmbeach.data.socrata.com,socrata,Open data portal,,,,,,https://westpalmbeach.data.socrata.com/api,5,active
wicomicocountymd.data.socrata.com,,https://wicomicocountymd.data.socrata.com,socrata,Open data portal,,,,,,https://wicomicocountymd.data.socrata.com/api,1,active
